id,sual,cavab,kateqoriya,qərar,qeyd
az-581,Xətai hansı əsərin müəllifidir?,Dəhnamə,culture,düzgün,
az-800,Qafqaz Albaniyası dövləti nə vaxt süqut edib?,705-ci ildə,history,düzgün,
az-1132,Kvadrat kökünü tap: 121.,11,mathematics,düzgün,
az-1572,Ununoktiumun atom nömrəsini yaz.,118,science,düzgün,
az-1355,30604 ədədindəki rəqəmlərin cəmi nə qədərdir?,13,mathematics,düzgün,
az-1317,Tunisdə beynəlxalq telefon kodu hansıdır?,216,world,düzgün,
az-1012,Yusif Vəzir Çəmənzəminlinin vəfat yerini yaz.,Unjlaq,history,düzgün,
az-649,Azərbaycan dilində qeyri-muəyyənlik nəyi bildirir?,Bilinməyənlik,language,düzgün,
az-062,Əli Hidayət oğlu Əsədov hansı peşə ilə tanınır?,siyasətçi,culture,düzgün,
az-1213,Kadmiumun atom nömrəsini yaz.,48,science,düzgün,
az-1283,Hansı telefon kodu Tailandın aiddir?,66,world,düzgün,
az-1047,Altay dili üçün hansı yazı sistemindən istifadə olunur?,kiril əlifbası,language,düzgün,
az-1253,Palladium elementinin kəşfçisini yaz.,Vilyam Hayd Vollaston,science,düzgün,
az-667,Tofiq Bəhramov kimdir?,Məşhur hakim,culture,düzgün,
az-1236,Dövri cədvəldə sirkonium hansı nömrə ilə durur?,40,science,düzgün,
az-1182,Kvadratı 144 olan müsbət ədəd hansıdır?,12,mathematics,düzgün,
az-1097,16-bucaqlının diaqonallarının sayı neçədir?,104,mathematics,düzgün,
az-1331,8 ilə 22 arasındakı bütün tam ədədlərin cəmi neçədir (hər ikisi daxil olmaqla)?,225,mathematics,düzgün,
az-009,Hindistanın paytaxtı hansı şəhərdir?,Yeni Dehli,geography,düzgün,
az-535,Siyəzən rayonu hansı regiondadır?,Abşeron-Yalama,geography,düzgün,
az-1184,Diaqonallarının sayını tap: 7-bucaq.,14,mathematics,düzgün,
az-669,Azərbaycanda ilk rəssamlıq təhsili almiş şəxs kimdir?,Bəhruz Kəngərli,culture,düzgün,
az-1336,210 sayının fərqli sadə vuruqlarının sayı neçədir?,4,mathematics,düzgün,
az-1195,Arqon elementinin atom nömrəsi neçədir?,18,science,düzgün,
az-1118,Sadə ədədlər sırasında 11-ci ədəd nədir?,31,mathematics,düzgün,
az-1159,Kvadratı 256 olan müsbət ədəd hansıdır?,16,mathematics,düzgün,
az-640,Azərbaycan dilində gələcək zaman şəkilçisi hansıdır?,"-acaq, -əcək",language,düzgün,
az-821,Azərbaycan BMT-yə nə vaxt üzv olub?,2 mart 1992,history,düzgün,
az-575,Ən kiçik planet hansıdır?,Merkuri,science,düzgün,
az-088,Norveç dilinin yazı sistemini yaz.,latın əlifbası,language,düzgün,
az-965,Əzizə Mustafazadə hansı ildə anadan olub?,1969,history,düzgün,
az-519,Abşeron yarımadası harada yerləşir?,Xəzər dənizində,geography,düzgün,
az-050,Heydər Əliyevin doğulduğu yer haradır?,Naxçıvan,culture,düzgün,
az-1223,Niobium elementinin atom nömrəsi neçədir?,41,science,düzgün,
az-1478,Qambiyanın paytaxtının adı nədir?,Banjul,geography,düzgün,
az-1513,Hansı şəhər Samoanın paytaxtıdır?,Apia,geography,düzgün,
az-1570,Eynşteynium elementinin atom nömrəsi neçədir?,99,science,düzgün,
az-1498,Kosovonun paytaxtının adı nədir?,Priştina,geography,düzgün,
az-962,Qurban Qurbanov neçənci ildə doğulub?,1972,history,düzgün,
az-1545,Qrenadada hansı pul vahidi işlənir?,Şərqi Karib dolları,geography,düzgün,
az-1473,Hansı şəhər Burundinin paytaxtıdır?,Gitega,geography,düzgün,
az-1577,Disprozium elementində neçə proton var?,66,science,düzgün,
az-1239,İndium elementinin atom nömrəsi neçədir?,49,science,düzgün,
az-1155,120-in bölənlərinin sayı neçədir?,16,mathematics,düzgün,
az-989,Yunanıstanın rəsmi dili hansıdır?,yunan dili,language,düzgün,
az-035,Litiumun kimyəvi işarəsi nədir?,Li,science,düzgün,
az-560,İnsan beyni nə qədər aqirliqdad ir?,1.3-1.4 kq,science,səhv,Sualda ciddi yazı səhvləri var: “aqirliqdad ir” ifadəsi qüsurludur.
az-969,Çingiz Mustafayev harada anadan olub?,Moskva,culture,düzgün,
